Infant Mortality Rate,Lower Confidence Interval,Upper Confidence Interval,Standard Error,Number Births,Flag,ZIP Code,ZIP Code Value,Number Births 2
,,,,<400,,"78615(30.4641, -97.381012)",78615,<400
,,,,<400,,"78645(30.450977, -97.976433)",78645,<400
,,,,<400,,"78652(30.132584, -97.844418)",78652,<400
,,,,<400,,"78663(30.425137, -98.34357)",78663,<400
,,,,<400,,"78669(30.431305, -98.097163)",78669,<400
,,,,<400,,"78701(30.271191, -97.741791)",78701,<400
,,,,<400,,"78705(30.292467, -97.737978)",78705,<400
,,,,<400,,"78719(30.143087, -97.673385)",78719,<400
,,,,<400,,"78722(30.290465, -97.715708)",78722,<400
,,,,<400,,"78730(30.362332, -97.833544)",78730,<400
,,,,<400,,"78733(30.327345, -97.871484)",78733,<400
,,,,<400,,"78736(30.241891, -97.930895)",78736,<400
,,,,<400,,"78742(30.235393, -97.67165)",78742,<400
2.78,0.57,8.13,1.61,1000-1099,1,"78731(30.345658, -97.765626)",78731,1000-1999
3.57,0.97,9.15,1.79,1100-1199,1,"78747(30.133523, -97.757228)",78747,1000-1999
1.72,0.21,6.22,1.22,1100-1199,1,"78750(30.433237, -97.800431)",78750,1000-1999
5.41,2.17,11.15,2.04,1200-1299,1,"78621(30.333853, -97.369166)",78621,1000-1999
6.44,2.78,12.69,2.28,1200-1299,1,"78653(30.345865, -97.531473)",78653,1000-1999
4.48,1.64,9.75,1.83,1300-1399,1,"78757(30.349869, -97.732706)",78757,1000-1999
5.59,2.42,11.02,1.98,1400-1499,1,"78702(30.264271, -97.71608)",78702,1000-1999
6.28,2.87,11.93,2.09,1400-1499,1,"78754(30.356927, -97.643722)",78754,1000-1999
5.22,2.25,10.28,1.85,1500-1599,1,"78617(30.157123, -97.611102)",78617,1000-1999
4.51,1.81,9.3,1.71,1500-1599,1,"78717(30.492639, -97.765813)",78717,1000-1999
1.9,0.39,5.55,1.1,1500-1599,1,"78728(30.450836, -97.682765)",78728,1000-1999
3.18,1.03,7.43,1.42,1500-1599,1,"78752(30.332223, -97.703051)",78752,1000-1999
3.57,1.31,7.76,1.46,1600-1699,1,"78610(30.079155, -97.818541)",78610,1000-1999
3.57,1.31,7.77,1.46,1600-1699,1,"78634(30.550535, -97.555793)",78634,1000-1999
3.59,1.32,7.82,1.47,1600-1699,1,"78727(30.426879, -97.713462)",78727,1000-1999
5.86,2.81,10.78,1.85,1700-1799,1,"78729(30.454447, -97.767067)",78729,1000-1999
2.81,0.91,6.57,1.26,1700-1799,1,"78759(30.40316, -97.753727)",78759,1000-1999
3.73,1.5,7.69,1.41,1800-1899,1,"78749(30.213975, -97.859448)",78749,1000-1999
6.68,3.56,11.43,1.85,1900-1999,0,"78724(30.295025, -97.622435)",78724,1000-1999
4.94,2.37,9.09,1.56,2000-2099,1,"78704(30.243217, -97.76448)",78704,2000-2999
6.44,3.68,10.45,1.61,2400-2499,0,"78681(30.519443, -97.718684)",78681,2000-2999
5.75,3.15,9.65,1.54,2400-2499,0,"78723(30.30723, -97.686715)",78723,2000-2999
4.69,2.5,8.03,1.3,2700-2799,0,"78641(30.55706, -97.872696)",78641,2000-2999
3.03,1.38,5.74,1.01,2900-2999,1,"78748(30.166107, -97.825259)",78748,2000-2999
4.74,2.65,7.81,1.22,3100-3199,0,"78741(30.227985, -97.716971)",78741,3000-3999
3.83,2.04,6.55,1.06,3300-3399,0,"78745(30.206782, -97.798214)",78745,3000-3999
4.58,2.62,7.43,1.14,3400-3499,0,"78664(30.505358, -97.651252)",78664,3000-3999
4.97,2.94,7.85,1.17,3600-3699,0,"78744(30.186349, -97.738673)",78744,3000-3999
5.42,3.31,8.37,1.21,3600-3699,0,"78758(30.384311, -97.706726)",78758,3000-3999
3.36,1.79,5.75,0.93,3800-3899,0,"78613(30.503628, -97.824803)",78613,3000-3999
6.77,1.4,19.79,3.91,400-499,1,"78725(30.242394, -97.615386)",78725,400-999
0,0,7.47,0,400-499,,"78751(30.310564, -97.722213)",78751,400-999
0,0,9,0,400-499,,"78756(30.321553, -97.740236)",78756,400-999
4.02,2.38,6.36,0.95,4400-4499,0,"78660(30.449905, -97.613157)",78660,4000-4999
3.12,1.7,5.23,0.83,4400-4499,0,"78753(30.378511, -97.675352)",78753,4000-4999
0,0,6.69,0,500-599,,"78620(30.223679, -98.119536)",78620,400-999
3.45,0.42,12.48,2.44,500-599,1,"78738(30.319988, -97.977713)",78738,400-999
7.18,2.33,16.76,3.21,600-699,1,"78612(30.096312, -97.490084)",78612,400-999
3.28,0.4,11.86,2.32,600-699,1,"78726(30.431233, -97.838431)",78726,400-999
0,0,5.68,0,600-699,,"78737(30.193369, -97.964749)",78737,400-999
1.39,0.04,7.73,1.39,700-799,1,"78732(30.370203, -97.897807)",78732,400-999
2.7,0.33,9.76,1.91,700-799,1,"78734(30.377001, -97.952751)",78734,400-999
1.28,0.03,7.14,1.28,700-799,1,"78746(30.293201, -97.80785)",78746,400-999
8.46,3.4,17.44,3.2,800-899,1,"78654(30.574593, -98.262432)",78654,400-999
4.73,1.29,12.11,2.36,800-899,1,"78721(30.270568, -97.683892)",78721,400-999
6.78,2.49,14.76,2.77,800-899,1,"78735(30.256502, -97.858036)",78735,400-999
0,0,3.72,0,900-999,,"78703(30.291285, -97.763975)",78703,400-999
6.22,2.28,13.53,2.54,900-999,1,"78739(30.182911, -97.890498)",78739,400-999
,,,,,,"78712(30.285465, -97.735497)",78712,
